Field,Offset,Length,Type,Core,Content
1,0,4,U32,C ,Magic number (SDPX ASCII)
2,4,4,U32,C ,Offset to image data in bytes
3,8,8,ASCII,C ,Version number of header format (V1.0)
4,16,4,U32,C ,Total image file size in bytes
5,20,4,U32,,Ditto key (0 = same as previous frame; 1 = new) 
6,24,4,U32,,Generic section header length in bytes
7,28,4,U32,,Industry specific header length in bytes 
8,32,4,U32,,User-defined header length in bytes
9,36,100,ASCII,,Image filename
10,136,24,ASCII,,Creation date/time: YYYY:MM:DD:HH:MM:SS:LTZ 
12,160,100,ASCII,,Creator
13,260,200,ASCII,,Project name
14,460,200,ASCII,,Right to use or copyright statement
15,660,4,U32,,Encryption key (FFFFFFFF unencrypted) 
16,664,104,TBD,,Reserved for future use
17,768,2,U16,C ,Image orientation (see table 2) 
18,770,2,U16,C ,Number of image elements
19,772,4,U32,C ,Pixels per line
20,776,4,U32,C ,Lines per image element
21.1,780,4,U32,,Data sign (0 = unsigned; 1 = signed) / Core set images are unsigned.
21.2,784,4,U32,,Reference low data code value
21.3,788,4,R32,,Reference low quantity represented
21.4,792,4,U32,,Reference high data code value
21.5,796,4,R32,,Reference high quantity represented
21.6,800,1,U8,C ,Descriptor for image element 1 (see table 1)
21.7,801,1,U8,C ,Transfer characteristic for image element 1 (see table 5A)
21.8,802,1,U8,C ,Colorimetric specification for image element 1 (see table 5B)
21.9,803,1,U8,C ,Bit size for image element 1 (see table 3A)
21.10,804,2,U16,C ,Packing for image element 1 (see table 3B)
21.11,806,2,U16,C ,Encoding for image element 1 (see table 3C)
21.12,808,4,U32,C ,Offset to data for image element 1
21.13,812,4,U32,,End-of-line padding for image element 1
21.14,816,4,U32,,End-of-image padding for image element 1
21.15,820,32,ASCII,,Description of image element 1
22,852,72,Structure,,Image element 2
23,924,72,Structure,,Image element 3
24,996,72,Structure,,Image element 4
25,1068,72,Structure,,Image element 5
26,1140,72,Structure,,Image element 6
27,1212,72,Structure,,Image element 7
28,1284,72,Structure,,Image element 8
29,1356,52,TBD,,Reserved for future use
30,1408,4,U32,,X offset
31,1412,4,U32,,Y offset
32,1416,4,R32,,X center
33,1420,4,R32,,Y center
34,1424,4,U32,,X original size
35,1428,4,U32,,Y original size
36,1432,100,ASCII,,Source image filename
37,1532,24,ASCII,,Source image date/time: YYYY:MM:DD:HH:MM:SS:LTZ 
38,1556,32,ASCII,,Input device name
39,1588,32,ASCII,,Input device serial number
40,1620,8,U16*4,,"Border validity: XL, XR, YT, YB border "
41,1628,8,U32*2,,Pixel aspect ratio (horizontal:vertical)
42,1636,28,TBD,,Reserved for future use
